┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 22 | trajectory 137 of circuit 83 -- done
rank 8 | trajectory 178 of circuit 94 -- done
rank 25 | trajectory 145 of circuit 97 -- done
rank 13 | trajectory 12 of circuit 91 -- done
rank 47 | trajectory 185 of circuit 96 -- done
rank 32 | trajectory 187 of circuit 97 -- done
rank 35 | trajectory 27 of circuit 87 -- done
rank 31 | trajectory 148 of circuit 94 -- done
rank 33 | trajectory 35 of circuit 96 -- done
rank 35 | trajectory 4 of circuit 97 -- done
rank 11 | trajectory 117 of circuit 93 -- done
rank 2 | trajectory 43 of circuit 99 -- done
rank 29 | trajectory 51 of circuit 98 -- done
rank 39 | trajectory 119 of circuit 96 -- done
rank 26 | trajectory 136 of circuit 89 -- done
rank 23 | trajectory 180 of circuit 100 -- done
rank 25 | trajectory 49 of circuit 97 -- done
rank 25 | trajectory 47 of circuit 89 -- done
rank 48 | trajectory 118 of circuit 96 -- done
rank 4 | trajectory 135 of circuit 93 -- done
rank 10 | trajectory 32 of circuit 93 -- done
rank 46 | trajectory 132 of circuit 87 -- done
rank 45 | trajectory 48 of circuit 99 -- done
rank 27 | trajectory 112 of circuit 89 -- done
rank 46 | trajectory 114 of circuit 99 -- done
rank 0 | trajectory 20 of circuit 99 -- done
rank 49 | trajectory 116 of circuit 94 -- done
rank 35 | trajectory 9 of circuit 86 -- done
rank 33 | trajectory 190 of circuit 92 -- done
rank 13 | trajectory 77 of circuit 92 -- done
rank 34 | trajectory 176 of circuit 87 -- done
rank 13 | trajectory 94 of circuit 91 -- done
rank 36 | trajectory 136 of circuit 99 -- done
rank 15 | trajectory 130 of circuit 98 -- done
